GamerTag,Achievements File,Games File,Achievements Last Scraped,Games Last Scraped,Location Last Scraped,LocationSrc,LocationAlt,LocationTitle
1WJL2N,Yes,Yes,2023-05-30 03:31:48,5/29/2023 3:10,2023-06-06 00:10:41,None,None,None
QI99SC,Yes,Yes,2023-06-06 19:53:08,2023-06-07 22:35:24,,,,
J7W14T,Yes,Yes,2023-06-03 10:07:11,2023-06-07 21:10:54,2023-06-06 00:45:14,None,None,None
TMVDM6,Yes,Yes,2023-06-03 12:04:33,2023-06-04 15:58:51,2023-06-06 00:51:02,None,None,None
YNJL76,Yes,Yes,2023-05-30 02:57:21,5/29/2023 1:42,,,,
BE9UJP,Yes,Yes,2023-05-30 09:50:37,5/29/2023 2:04,,,,
99H584,Yes,Yes,2023-06-02 13:15:26,2023-06-04 01:12:13,2023-06-06 00:52:47,None,None,None
7I2X4X,Yes,Yes,2023-06-03 10:38:18,2023-06-07 23:26:49,2023-06-06 00:22:18,None,None,None
2G296X,Yes,Yes,2023-05-30 03:34:50,5/29/2023 2:03,2023-06-06 00:26:03,None,None,None
EGOYTZ,Yes,Yes,2023-06-06 11:58:45,2023-06-07 22:48:40,,,,
IYZ05Z,Yes,Yes,2023-06-08 04:06:48,2023-06-07 22:42:54,,,,
BQZLTU,Yes,Yes,2023-05-31 22:07:18,2023-06-04 18:59:36,,,,
ORX88M,Yes,Yes,2023-07-28 03:27:54,2023-07-29 10:46:52,,,,
KPNHJD,Yes,Yes,2023-06-03 03:52:47,2023-06-07 23:12:48,,,,
YXXD54,Yes,Yes,2023-06-03 08:03:45,2023-06-04 18:49:15,,,,
QPQEQZ,Yes,Yes,2023-06-06 14:00:55,2023-06-07 23:00:12,,,,
VVJLD7,Yes,Yes,2023-06-03 07:34:28,2023-06-04 18:56:31,,,,
TJOGZ3,Yes,Yes,2023-06-02 23:38:26,2023-06-04 16:31:37,,,,
OFNEZK,Yes,Yes,2023-07-28 03:35:18,2023-07-29 10:47:46,,,,
0RP69G,Yes,Yes,5/28/2023 15:15,2023-05-30 09:56:34,2023-06-06 00:21:52,None,None,None
VTFWSI,Yes,Yes,2023-06-06 15:49:24,2023-06-07 23:20:02,,,,
KW1FK8,Yes,Yes,2023-06-02 20:36:39,2023-06-04 16:56:26,,,,
MR57KI,Yes,Yes,2023-06-02 20:36:22,2023-06-04 18:34:41,,,,
UVB0GE,Yes,Yes,2023-06-03 01:44:16,2023-06-04 19:08:44,,,,
